sales_id,order_date,customer_id,product_id,sales_rep_id,region_id,quantity,unit_price,discount,total_revenue,total_cost,profit
1,2025-08-03 15:04:38.695769,197,96,15,5,3,1751.58,0.11,5254.74,3903.96,1350.78
2,2025-10-08 15:04:38.695769,334,177,7,3,2,2520.97,0.12,5041.94,3939.34,1102.6
3,2024-05-04 15:04:38.695769,231,161,4,3,17,265.64,0.2,4515.88,3891.81,624.07
4,2024-08-25 15:04:38.695769,21,139,8,4,3,301.76,0.2,905.28,695.4,209.88
5,2024-08-11 15:04:38.695769,187,112,12,3,17,389.04,0.08,6613.68,5052.06,1561.62
6,2024-04-24 15:04:38.695769,405,75,21,3,11,2500.78,0.01,27508.58,20056.41,7452.17
7,2025-04-01 15:04:38.695769,146,13,9,5,4,2317.1,0.17,9268.4,7004.6,2263.8
8,2026-01-10 15:04:38.695769,73,12,12,3,11,2163.91,0.19,23803.01,21016.27,2786.74
9,2026-02-25 15:04:38.695769,481,56,3,3,13,508.48,0.11,6610.24,5740.15,870.09
10,2026-01-17 15:04:38.695769,360,116,24,5,11,1327.51,0.02,14602.61,10245.51,4357.1
11,2024-03-20 15:04:38.695769,186,55,10,2,14,1964.99,0.19,27509.86,21106.26,6403.6
12,2025-07-12 15:04:38.695769,99,87,8,2,11,168.32,0.03,1851.52,1251.8,599.72
13,2024-06-13 15:04:38.695769,260,59,25,5,10,2634.57,0.17,26345.7,18324.0,8021.7
14,2025-02-09 15:04:38.695769,449,183,25,5,17,437.79,0.03,7442.43,6674.2,768.23
15,2024-09-03 15:04:38.695769,426,94,23,5,13,2207.89,0.16,28702.57,24707.41,3995.16
16,2024-04-15 15:04:38.695769,211,140,12,2,6,2085.42,0.19,12512.52,9011.7,3500.82
17,2025-06-04 15:04:38.695769,120,111,18,2,20,473.18,0.06,9463.6,7795.6,1668.0
18,2024-09-16 15:04:38.695769,189,171,22,5,16,1253.55,0.2,20056.8,13722.56,6334.24
19,2025-03-28 15:04:38.695769,258,162,17,4,15,1103.1,0.19,16546.5,11753.7,4792.8
20,2024-07-21 15:04:38.695769,447,63,9,1,7,2738.22,0.13,19167.54,13493.48,5674.06
21,2024-06-15 15:04:38.695769,365,28,17,1,12,1348.85,0.06,16186.2,12245.4,3940.8
22,2025-08-09 15:04:38.695769,76,72,14,1,6,1172.09,0.19,7032.54,5816.28,1216.26
23,2025-02-22 15:04:38.695769,477,51,1,4,8,930.8,0.01,7446.4,5219.36,2227.04
24,2025-04-01 15:04:38.695769,42,89,12,2,17,2378.68,0.01,40437.56,32360.86,8076.7
25,2025-12-27 15:04:38.695769,172,126,5,2,4,255.66,0.01,1022.64,712.32,310.32
26,2024-07-22 15:04:38.695769,389,29,23,4,16,693.03,0.09,11088.48,8044.32,3044.16
27,2024-03-21 15:04:38.695769,132,88,7,2,1,692.68,0.11,692.68,473.68,219.0
28,2024-06-23 15:04:38.695769,398,31,10,2,20,2363.76,0.06,47275.2,36057.4,11217.8
29,2025-12-16 15:04:38.695769,407,180,20,4,2,1841.01,0.01,3682.02,3080.22,601.8
30,2024-03-18 15:04:38.695769,324,183,17,5,16,525.57,0.05,8409.12,6281.6,2127.52
31,2024-03-03 15:04:38.695769,315,73,12,2,5,2231.99,0.11,11159.95,9173.75,1986.2
32,2024-05-28 15:04:38.695769,269,33,12,1,6,265.0,0.19,1590.0,1164.18,425.82
33,2025-08-03 15:04:38.695769,284,141,1,4,18,2127.62,0.17,38297.16,29393.1,8904.06
34,2025-03-19 15:04:38.695769,130,171,24,1,2,1161.5,0.07,2323.0,1715.32,607.68
35,2026-01-03 15:04:38.695769,322,4,4,5,3,2161.31,0.15,6483.93,5237.76,1246.17
36,2025-02-25 15:04:38.695769,280,17,11,2,11,1033.69,0.17,11370.59,9858.64,1511.95
37,2025-07-05 15:04:38.695769,324,29,6,2,15,750.3,0.01,11254.5,7541.55,3712.95
38,2024-09-24 15:04:38.695769,23,11,7,1,15,1908.6,0.06,28629.0,25681.05,2947.95
39,2025-09-09 15:04:38.695769,243,60,9,1,10,2529.24,0.15,25292.4,19364.0,5928.4
40,2024-04-19 15:04:38.695769,444,40,21,3,7,1415.13,0.05,9905.91,8156.75,1749.16
41,2025-04-15 15:04:38.695769,381,159,15,4,12,1471.52,0.07,17658.24,13851.96,3806.28
42,2025-07-24 15:04:38.695769,189,162,17,3,6,1017.46,0.16,6104.76,4701.48,1403.28
43,2025-11-08 15:04:38.695769,422,178,6,5,14,73.54,0.06,1029.56,909.86,119.7
44,2026-01-07 15:04:38.695769,152,125,10,4,4,767.65,0.12,3070.6,2712.48,358.12
45,2025-05-30 15:04:38.695769,180,1,15,1,14,2306.96,0.15,32297.44,27683.74,4613.7
46,2025-05-21 15:04:38.695769,141,158,21,1,12,83.33,0.02,999.96,742.92,257.04
47,2026-01-26 15:04:38.695769,82,200,1,2,13,247.74,0.17,3220.62,2586.22,634.4
48,2024-05-09 15:04:38.695769,121,135,25,3,15,734.6,0.07,11019.0,9892.05,1126.95
49,2024-08-06 15:04:38.695769,348,129,15,3,19,1040.33,0.07,19766.27,17760.25,2006.02
50,2025-08-26 15:04:38.695769,188,135,13,3,3,876.81,0.13,2630.43,1978.41,652.02
51,2024-03-28 15:04:38.695769,377,95,6,4,8,339.53,0.1,2716.24,1830.08,886.16
52,2024-11-23 15:04:38.695769,361,14,15,2,18,1438.53,0.2,25893.54,22572.9,3320.64
53,2025-07-17 15:04:38.695769,103,166,4,2,10,2441.81,0.17,24418.1,17725.2,6692.9
54,2026-03-02 15:04:38.695769,228,175,3,3,15,1259.69,0.13,18895.35,16162.8,2732.55
55,2024-12-24 15:04:38.695769,457,20,10,2,3,2391.42,0.14,7174.26,5435.04,1739.22
56,2025-08-04 15:04:38.695769,115,48,4,2,6,676.22,0.16,4057.32,2862.36,1194.96
57,2024-03-28 15:04:38.695769,185,166,18,5,8,2510.15,0.07,20081.2,14180.16,5901.04
58,2024-05-29 15:04:38.695769,34,196,10,4,18,604.14,0.2,10874.52,9440.46,1434.06
59,2025-04-25 15:04:38.695769,422,66,19,1,16,2536.93,0.03,40590.88,30978.88,9612.0
60,2025-06-05 15:04:38.695769,239,165,22,5,11,2123.37,0.07,23357.07,17213.13,6143.94
61,2024-09-04 15:04:38.695769,394,106,5,4,18,2179.1,0.1,39223.8,28927.8,10296.0
62,2025-08-14 15:04:38.695769,79,145,10,2,2,2496.63,0.03,4993.26,3485.56,1507.7
63,2025-08-15 15:04:38.695769,459,118,10,1,8,1818.13,0.05,14545.04,11744.96,2800.08
64,2025-12-02 15:04:38.695769,156,25,20,5,18,461.49,0.02,8306.82,6866.46,1440.36
65,2025-10-17 15:04:38.695769,79,71,6,5,6,349.25,0.14,2095.5,1567.62,527.88
66,2025-09-30 15:04:38.695769,22,12,1,1,20,2359.65,0.01,47193.0,38211.4,8981.6
67,2024-10-03 15:04:38.695769,393,160,19,4,19,223.92,0.12,4254.48,3528.11,726.37
68,2025-12-04 15:04:38.695769,280,28,10,3,1,1325.78,0.1,1325.78,1020.45,305.33
69,2024-05-15 15:04:38.695769,353,120,2,2,13,205.53,0.09,2671.89,2191.93,479.96
70,2025-02-13 15:04:38.695769,311,40,5,3,16,1498.25,0.17,23972.0,18644.0,5328.0
71,2025-02-18 15:04:38.695769,500,169,13,2,11,1273.92,0.15,14013.12,10054.77,3958.35
